time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.0526	1.5349	5.18799	0.418123	0.563264	radar	7.85958	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.2892	1.57608	5.15314	0.38712	0.425526	lidar	7.70898	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.5087	1.67948	5.09868	0.427628	0.501927	radar	6.86536	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.7565	1.66236	5.04144	0.341514	0.245838	lidar	23.5097	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.0272	1.6386	5.02977	0.247568	-0.0111706	radar	23.3803	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3421	1.65039	5.09237	0.188012	-0.145929	lidar	26.8223	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.5921	1.65625	5.05267	0.14564	-0.225856	radar	4.60473	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8265	1.71667	5.04294	0.159355	-0.168617	lidar	1.53783	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.0667	1.85925	5.08999	0.244779	0.0500049	radar	21.3315	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3216	1.86209	5.08058	0.193347	-0.0751581	lidar	3.60713	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.5861	1.87735	5.11224	0.155569	-0.158251	radar	4.32092	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.7767	2.04057	5.06513	0.267464	0.114748	lidar	26.7324	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0164	2.22504	5.13657	0.369414	0.318636	radar	38.9338	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2148	2.36728	5.10118	0.434886	0.432411	lidar	8.26791	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.3869	2.67282	5.09656	0.645871	0.880636	radar	74.6213	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.6575	2.72838	5.12263	0.585163	0.643836	lidar	21.9322	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.8822	2.8431	5.12375	0.584721	0.561953	radar	1.88127	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1238	2.96111	5.13845	0.582628	0.495143	lidar	3.66937	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.3803	3.03497	5.15783	0.519659	0.255037	radar	13.7553	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.5905	3.07668	5.06593	0.472495	0.130238	lidar	20.5867	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.7872	3.32019	5.16897	0.575612	0.315987	radar	64.5061	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0044	3.47809	5.18471	0.602542	0.340202	lidar	0.591203	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.1834	3.70793	5.21643	0.695847	0.516477	radar	19.9815	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4201	3.84575	5.22843	0.683869	0.43359	lidar	5.17214	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6594	3.91901	5.17674	0.623909	0.258869	radar	33.1269	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9008	4.03503	5.17452	0.599695	0.181165	lidar	3.58924	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.0896	4.19324	5.12977	0.644515	0.306765	radar	6.58595	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.2936	4.38254	5.16425	0.682726	0.355167	lidar	2.47975	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5015	4.52782	5.15571	0.682294	0.312981	radar	1.4105	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6781	4.69376	5.13492	0.708196	0.335042	lidar	2.5043	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8147	4.92059	5.09558	0.823577	0.636417	radar	18.0513	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9777	5.14624	5.12853	0.881119	0.688547	lidar	2.24231	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1742	5.2659	5.06764	0.853314	0.572746	radar	40.2216	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3276	5.45523	5.05384	0.88454	0.578893	lidar	0.772713	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5183	5.56652	4.96852	0.861478	0.510121	radar	63.1542	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7163	5.70405	4.93535	0.840634	0.420684	lidar	5.97298	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
